"","fac_1","fac_2","fac_3","fac_4","Type_FS1","Type_FS2","Type_FS3","Type_FS4","Type"
"636",11.3934817306959,11.5530507511142,-4.53686801530128,-2.01780493882611,1,0,0,0,"1|0|0|0"
"637",8.06675153004896,12.4705169491634,-2.16884303253738,3.8595001876869,0,1,0,1,"0|1|0|1"
"638",8.38003967414935,7.27028543192686,-5.55662584369662,-0.103562729376762,0,0,0,0,"0|0|0|0"
"639",6.0936466739558,6.02040614382755,-0.282287993382063,0.988323930497003,0,0,1,0,"0|0|1|0"
"640",5.14972766124943,4.55345243714895,-0.741470158130864,-2.43879227565679,0,0,0,0,"0|0|0|0"
"641",5.86280132893084,3.99218424865593,-5.33744010601293,-2.24042634449799,0,-1,0,0,"0|-1|0|0"
"642",1.68982511586227,9.09833435551136,-2.62511763136024,1.161380259937,-1,0,0,1,"-1|0|0|1"
"643",7.86279773344419,5.69093832240979,-1.89610911262113,-3.33231300437175,0,0,0,0,"0|0|0|0"
"644",10.9354365828583,12.4155452291093,-8.26096647437324,1.88184465921197,1,1,-1,1,"1|1|-1|1"
"645",6.3532124162165,9.4683579341243,-7.62239837730294,2.24551505969696,0,0,-1,1,"0|0|-1|1"
"646",0.960350796238647,7.93818859809458,-8.11610865658188,-4.05277740364672,-1,0,-1,0,"-1|0|-1|0"
"647",8.30828604524719,3.19239443996157,-4.89322178740191,1.68347872805316,0,-1,0,1,"0|-1|0|1"
"648",9.50450258997307,6.81034525834762,-3.45898995236323,-4.05277740364672,0,0,0,0,"0|0|0|0"
"649",3.21690079230579,6.53266755641633,-2.18245888775553,-3.20882175116364,0,0,0,0,"0|0|0|0"
"650",2.04501603373485,6.97000425415501,-4.42445872352465,1.1536283998232,-1,0,0,1,"-1|0|0|1"
"651",9.88220049136197,4.68873108223958,-5.37306701598238,-3.33231300437175,0,0,0,0,"0|0|0|0"
"652",7.5668169527939,6.25575117832922,-2.294396961804,1.87409279909817,0,0,0,1,"0|0|0|1"
"653",10.936793237643,3.77827685125405,-4.78393295941627,-6.27836393951234,1,-1,0,-1,"1|-1|0|-1"
"654",0.592953107012042,9.7318987633831,-4.34762830306302,5.57537646597744,-1,0,0,2,"-1|0|0|2"
"655",7.66991582664641,7.12473475692955,-1.2351804374098,-4.05277740364672,0,0,0,0,"0|0|0|0"
"656",2.52544412898011,6.00190891978558,-0.996975979214798,-0.35149373676745,0,0,0,0,"0|0|0|0"
"657",3.45514918906895,6.26367740898443,-3.42469288450578,1.87409279909817,0,0,0,1,"0|0|0|1"
"658",11.2751311187574,3.82624047315307,-6.87568481052663,-4.05277740364672,1,-1,0,0,"1|-1|0|0"
"659",7.3771027056596,5.26339597647858,-2.69851400965525,-0.35149373676745,0,0,0,0,"0|0|0|0"
"660",7.32893120955678,10.4013108463208,-4.93683188853855,-2.96089074377296,0,0,0,0,"0|0|0|0"
"661",11.2412866399104,-2.58453837869156,-8.5722733464186,-5.13691220340669,1,-2,-1,-1,"1|-2|-1|-1"
"662",9.5793470298786,8.78985630074503,3.74086126654465,-4.05277740364672,0,0,2,0,"0|0|2|0"
"663",6.72290135112232,5.62912052241385,-0.212884010408272,-1.44338039664121,0,0,1,0,"0|0|1|0"
"664",-0.272964249183907,14.3607664340351,-6.25871128586807,0.0694936000632309,-1,1,0,0,"-1|1|0|0"
"665",4.82279485463735,5.20596570892094,-0.714761654245131,-2.06737001505799,0,0,0,0,"0|0|0|0"
"666",-1.36871490108927,7.19417531810685,-0.9735549118672,-4.1100943399924,-2,0,0,0,"-2|0|0|0"
"667",2.26247104578577,9.83354288793516,-4.72081414350514,-1.34690561578302,-1,0,0,0,"-1|0|0|0"
"668",7.8012051060937,4.26121813686773,-3.49324529295284,-3.58024401176244,0,-1,0,0,"0|-1|0|0"
"669",6.48300334681915,11.3575856222929,-3.22296053759236,-4.05277740364672,0,0,0,0,"0|0|0|0"
"670",11.0411385915213,9.42285449171452,-6.16692333065526,-2.24042634449799,1,0,0,0,"1|0|0|0"
"671",3.58771038371963,6.33902710947726,-2.24706651263383,2.24551505969696,0,0,0,1,"0|0|0|1"
"672",8.94761524872613,5.40867741683319,-5.28441828208882,-5.13691220340669,0,0,0,-1,"0|0|0|-1"
"673",9.32895395348106,5.60579653725956,-1.2698744585908,-5.13691220340669,0,0,0,-1,"0|0|0|-1"
"674",8.86504657454226,5.92842422944608,-1.89116883146172,-5.19422913975237,0,0,0,-1,"0|0|0|-1"
"675",8.04170490690626,3.54416101990772,-3.60204475440269,4.1344476674275,0,-1,0,2,"0|-1|0|2"
"676",4.71005908031175,7.51682448215766,-3.54747582130241,0.886432780196391,0,0,0,0,"0|0|0|0"
"677",10.288503526925,14.2885750626563,-6.40103908221759,-3.04961366451735,1,1,0,0,"1|1|0|0"
"678",11.2575932231932,13.3881552854818,-3.25732713435923,-0.925918278952343,1,1,0,0,"1|1|0|0"
"679",8.54637440182949,1.56635805050437,-2.98087212793894,-4.05277740364672,0,-1,0,0,"0|-1|0|0"
"680",8.41522998653467,6.32370118886315,-4.61994712084808,-2.96089074377296,0,0,0,0,"0|0|0|0"
"681",11.0450855343054,13.1681787000712,-3.63995165258693,-2.43879227565679,1,1,0,0,"1|1|0|0"
"682",13.9836727391036,10.2137934707464,-4.41853326040154,-6.27836393951234,1,0,0,-1,"1|0|0|-1"
"683",7.77131513978402,5.24477007469639,-0.900049233306669,-2.96089074377296,0,0,0,0,"0|0|0|0"
"684",9.39136829519618,7.47374098683292,-2.01540335677752,-2.96089074377296,0,0,0,0,"0|0|0|0"
"685",6.60692927357406,9.14166787438978,-5.66283940635634,-4.30070841103741,0,0,0,0,"0|0|0|0"
"686",7.06864196947309,2.24577851389814,-5.46132455128711,-2.06737001505799,0,-1,0,0,"0|-1|0|0"
"687",7.96630742420925,17.8600739788664,-4.20475293891911,-3.21657361127744,0,2,0,0,"0|2|0|0"
"688",-2.71087236544109,11.1265025099944,-2.26936448197266,-2.96089074377296,-2,0,0,0,"-2|0|0|0"
"689",2.82826714343878,9.97484720336584,5.49974056986172,-0.262770816023056,0,0,2,0,"0|0|2|0"
"690",-4.23320950110809,10.9655990026146,0.0648787912171727,-4.05277740364672,-2,0,1,0,"-2|0|1|0"
"691",7.59999946814237,5.70434849203983,-0.10856647159384,-6.27836393951234,0,0,1,-1,"0|0|1|-1"
